SIA ID,ID,trench,Horizon,Year,Locus.a,Locus.b,Bag,Taxon,Element,Side,Estimated age at death/wear stage,Associated teeth,Notes,,,,,,,
MB Ovis 7 MAN,8332,M9/5,V,2013,707,,7095,Ovis aries,mandible,right,E,P3-M3,,,,,,,,
MB Ovis 8 MAN,8333,M9/5,V,2013,707,,7095,Ovis aries,mandible,right,G,P3-M3,,,,,,,,
MB Ovis 8 M3,8333,M9/5,V,2013,707,,7095,Ovis aries,lower M3,right,,,,,,,,,,
MB Ovis 9 MAN,8842,M9/6,V,2014,804 (W of st1),,,Ovis aries,mandible,left,C,M1,,,,,,,,
MB Ovis 9 M1,8842,M9/6,V,2014,804 (W of st1),,,Ovis aries,lower M1,left,,,,,,,,,,
MB Ovis 10 MAN,9944,M9/6,V,2014,804,near ft 3,,Ovis aries,mandible,left,E,P2-M3,,,,,,,,
MB Ovis 10 M1,9944,M9/6,V,2014,804,near ft 3,,Ovis aries,lower M1,left,,,,,,,,,,
MB Ovis 10 M2,9944,M9/6,V,2014,804,near ft 3,,Ovis aries,lower M2,left,,,,,,,,,,
MB Ovis 10 M3,9944,M9/6,V,2014,804,near ft 3,,Ovis aries,lower M3,left,,,,,,,,,,
MB Ovis 11 MAN,9661,M9/6,V,2014,ft 1,,8106,Ovis aries,mandible,right,G,P3-M2,,,,,,,,
MB Ovis 11 M2,9661,M9/6,V,2014,ft 1,,8106,Ovis aries,lower M2,right,,,,,,,,,,
MB Ovis 12 MAN,9936,M9/6,V,2014,804,near ft 3,,Ovis aries,mandible,right,D,dP3dP4,,,,,,,,
MB Ovis 13 MAN,9801,M9/6,V,2014,806,,,Ovis aries,mandible,left,,,,,,,,,,
MB Ovis 14 MAN,9234,O8/1N,I,2014,1007,FT 3  ,10069,Ovis aries,mandible,left,G,P2-M3,,,,,,,,
MB Ovis 15 MAN,5835,O8/1N,I,2014,1003,,1044,Ovis aries,mandible,left,EF,P3-M2,,,,,,,,
MB Ovis 16 MAN,9215,O8/1N,I,2014,1002,SW corner,,Ovis aries,mandible,right,C,dP2-M1,,,,,,,,
MB Ovis 17 M3,5917,O8/1N,I,2014,1004,,,Ovis aries,lower M3,right,E,M3,,,,,,,,
MB Ovis 18 MAN,10241,M10/2,II b,2014,914,,,Ovis aries,mandible,right,FG,P2-M3,,,,,,,,
MB Ovis 19 MAN,9196,M10/3,II b,2014,1304,,,Ovis aries,mandible,left,D,"P2-P4,M1,M2",,,,,,,,
MB Ovis 19 M2,9196,M10/3,II b,2014,1304,,,Ovis aries,lower M2,left,,,,,,,,,,
MB Ovis 20 MAN,9129,M10/3,II a,2014,1303,,13016,Ovis aries,mandible,right,B,dP2-dP4,,,,,,,,
MB Ovis 21 MAN,6225,M10/3,II a,2014,1303,,13021,Ovis aries,mandible,right,D,dP2-dP4,,,,,,,,
MB Ovis 22 M3,10466,M10/3,II a,2014,1308,,,Ovis aries,lower M3,left,E,M3,,,,,,,,
MB Ovis 23 M3,1924,M11/1,III b,2012,16,,134,Ovis aries,lower M3,left,G,M3,,,,,,,,
MB Ovis 24 M3,10298,M10/2,III b,2014,911,,9041,Ovis aries,lower M3,right,HI,M3,,,,,,,,
MB Capra 2 M1,6121,M10/3,III b,2014,1306,,13036,Ovis aries,mandible,right,EF,,,,,,,,,
MB Capra 2 M2 ,6121,M10/3,III b,2014,1306,,13036,Ovis aries,lower M2,right,,M2 has chunck of mandible on it,,,,,,,,
MB Capra 2 M3,6121,M10/3,III b,2014,1306,,13036,Ovis aries,lower M3,right,,,,,,,,,,
MB Ovis 25 MAN,6120,M10/3,III b,2014,1306,,,Ovis aries,mandible,right,D,dP3-M2,,,,,,,,
MB Ovis 26 MAN,1446,M11/1,III b,2012,16,,129,Ovis aries,mandible,left,D,M2,,,,,,,,
MB Ovis 27 MAN,195,M11/1,III c,2013,27,,350,Ovis aries,mandible,left,,dP2dP3dP4M1M2 spargea,,,,,,,,
MB Ovis 27 M1,195,M11/1,III c,2013,27,,350,Ovis aries,lower M1,left,,,,,,,,,,
MB Lag 2 SCA,3693,M9/1,V,2012,213,,2106,Lepus europaeus,scapula,right,,,,,,,,,,
MB Lag 1 MAN,2162,M9/1,V,2012,211,,2092,Lepus europaeus,mandible,left,,cu inc,,,,,,,,
MB Lag 3 RAD,5948,O8/1N,I,2014,1002,,,Lepus europaeus,radius,left,,,,,,,,,,
MB Lag 4 MAN,6189,M10/3,II a,2014,1303,,13021,Lepus europaeus,maxilla,right,,cu inc,,,,,,,,
MB Lag 5 MT,6019,M10/3,III b,2014,1306,,,Lepus europaeus,metatarsal,indet,,,,,,,,,,
